,6K41_lig-to-AF_6K41,6K42_lig-to-AF_6K41
151,5.452105628665447,5.476766400284972
152,5.656789954598159,5.762686860485755
153,9.943743951185603,10.50719043498147
154,5.5892980183187335,5.5174612582543325
155,9.63621062765789,10.196493419332187
156,9.798897333325247,10.256665229309434
157,10.481343221530434,10.968183812037818
158,9.522149490079327,9.971178549594743
159,3.1231802555095314,3.493076667816179
160,10.290943029986328,10.74447512631165
161,9.435083508012127,9.862677388981403
162,5.515109419073032,5.5541473864949795
163,10.111090181068363,10.572940629074546
164,5.515703753677138,5.540965537472996
165,5.444163672747998,5.504162348064845
166,10.647758922870304,11.191697944105258
167,10.023004090006287,10.432962052681585
168,5.30429029874114,5.130169645846337
169,5.770993858071242,5.8772326621645785
170,5.51258755527516,5.701804094564835
171,10.007221222717368,10.470096836072647
172,10.637098677593595,11.124734146136399
173,11.077450387814356,11.609644793303701
174,10.720605260390405,11.220890998627565
175,10.000826840509669,10.414949421944103
176,10.656894469006565,11.197436299267114
177,5.725541490374111,5.891668362536126
178,9.3395265454843,9.779143700574155
179,3.482683568211958,3.771334139206617
180,8.736633005986258,9.194393194758623
181,5.604137238349817,5.5473766654738155
182,10.071021575555367,10.554023988129282
183,10.616679670299158,11.101164608550883
184,5.532887344272612,5.555209155094071
185,10.45059074529286,10.948258634149035
186,11.1066549982972,11.619765385622845
187,10.235543485678539,10.627515891181995
188,10.367175137345766,10.917804697711015
189,10.128721640259934,10.68012666257168
190,10.899625575829639,11.42896069412823
191,10.278086407759703,10.728983947707949
192,11.46043846003234,11.975655042307782
193,10.931629689446865,11.470810087632724
194,11.604474872387176,12.10573175543682
195,10.581008814735602,11.070243043386595
196,11.268980082315728,11.793704261537034
197,9.517713136644662,10.087477738355265
198,8.808635003450336,9.266637704905735
199,11.79175019059057,12.312917976432763
200,9.98289757306383,10.534954067505574
201,11.023803486760459,11.512086719420083
202,5.493805782340235,5.495485193698303
203,9.453861240403475,9.95390043005382
204,12.221950424205616,12.671961703395839
205,9.335392537548087,9.764499085619283
206,11.344794854674124,11.810643801639436
207,5.311271905855038,5.56868468812665
208,11.683389907666038,12.169375870903712
209,9.62167150194228,10.100179806257016
210,10.262240163201367,10.607277437110548
211,10.637183071159171,11.127955935706336
212,9.963998875365803,10.52283697925099
213,9.589032928943533,10.078606995488705
214,10.987013567528308,11.54547155919678
215,9.627533816169299,10.12695871553633
216,10.357492142821787,10.91187835977528
217,11.732551408933265,12.250018972328963
218,10.491516597385747,10.992621794410013
219,10.919014727349996,11.432804934180986
220,10.017538499093728,10.550614187698189
221,11.096862374074702,11.62339718726869
222,9.584316145331005,10.009520473526413
223,9.985711331407343,10.54881444251297
224,10.845497648731246,11.37990610652115
225,12.040203886796666,12.50351380803947
226,10.897924439555721,11.332160022815472
227,10.57251008599168,11.090412489015602
228,9.314431783445709,9.869646077763537
229,9.914908678210287,10.332392699036568
230,10.881580389723037,11.411837225241474
231,10.538131912872416,11.06688418382282
232,10.1327905174486,10.630822927400322
233,8.203137972445894,8.657764850792239
234,9.24069855293091,9.791796584490028
235,11.275282550115762,11.756831290168426
236,10.04322320657896,10.60293144278907
237,9.601187176492614,10.161385662270778
238,10.953830417390975,11.309360744170126
239,9.878443466398515,10.448650643066424
240,9.183606502588459,9.74445233907219
241,10.039750281456486,10.47614783490332
242,10.865427552335417,11.32607746911316
243,8.956221794193993,9.44103716318266
244,10.050943843653018,10.500686650719583
