,7CKZ_lig-to-AF_7CKW,7JOZ_lig-to-AF_7CKW,7CKW_lig-to-AF_7CKW,7CRH_lig-to-AF_7CKW,7CKX_lig-to-AF_7CKW,7CKY_lig-to-AF_7CKW,7JV5_lig-to-AF_7CKW,7JVQ_lig-to-AF_7CKW,7LJD_lig-to-AF_7CKW,7JVP_lig-to-AF_7CKW,7LJC_lig-to-AF_7CKW
17,0.8370516375195084,8.633746745793074,2.273717912198423,4.177926963219604,,9.186058627348968,6.340791795673618,6.0486522125785065,0.5411266760342738,1.1389103572454666,6.297524045000727
18,1.9087985183131704,8.90210203042057,1.6078190979058886,5.4200626159752465,,9.136154336818775,1.638954329454698,0.7146735714034738,1.3863771018375977,3.361055371328422,1.5685114153159212
19,2.4509375407101985,9.058218770953092,2.0563691693289665,5.8643513424102,,9.569188345069868,1.1483042124135692,6.087983270505567,2.2340843163556627,4.132263291259411,1.0691397220776615
20,1.9596785710216262,9.23520000854057,5.802104615438212,4.146750045562793,,9.28021853575572,5.452099700741028,3.431387774732855,2.0172484170894975,5.770262239072693,5.407675335036614
21,1.9420384486595526,8.34631320554814,5.8703759524012495,4.147209839005401,,9.324725851369484,5.212123505578082,3.466955287992661,2.028248620594358,5.204898837981525,5.169929380837035
22,2.1793640219335497,8.719190633359595,1.9245478403806942,4.4041476016167,,8.91364239373891,5.069770935172438,3.4484030446373506,2.3178490390475925,3.3697133690562753,5.051544926665758
23,2.615983442928213,8.977072508668218,1.6288481552394767,3.92434640383661,,8.362902048775249,6.317856552738544,3.444843895496106,2.33248127859769,5.643252356911454,6.268443581395305
24,2.2135619539079796,8.69281269745748,1.934406598949454,5.473479035139573,,9.010860663333448,2.3024567515248013,3.424253693713789,1.6921235748555663,3.5817227728244765,2.3978701802749884
25,0.9295250844380422,8.940167836843456,1.9141503944007445,4.641074680780647,,9.117832058891823,3.534746026087051,5.2671296244813215,1.0786700581251525,3.0078014617365305,3.5068228011646303
26,2.0237499239998407,8.597244525885355,5.79146785005834,4.012657992730252,,8.970772314213868,2.2819365013194894,3.4075172282266366,1.532969006095,3.7167120906670523,2.376120963583588
27,1.0270246382481016,8.317011466629847,2.176719623628769,5.439605165291767,,9.168870929136627,5.58698741860596,3.4187115642448793,0.6281578531312394,3.9718060180068258,5.546342062320195
28,2.284469546873946,9.057399352027032,1.4549079026214935,5.554025460003868,,8.571868793004223,5.127922451077335,3.446261166714261,2.5131770899989077,2.8635701121613755,5.092202462393442
29,1.35710970225114,9.245533642405043,2.1756137917894383,5.526821674374178,,9.523641260260568,1.6134873617049657,1.3571019664848507,1.3257755495730208,3.30955485315432,1.603063482857498
30,0.867090350658977,9.051408656542312,5.254502771526409,4.291318212879375,,8.450997430114283,1.6265966893038337,3.4419094997164197,1.1107177798245007,3.4641182095456693,1.5662226504224905
31,2.5609038659252725,9.511780693778185,5.926753474173101,4.6504644686241,,9.550240653623149,5.173720783337494,3.4938497924181697,2.642381257014602,3.3605867256079778,5.124468088921892
