,6ME6_lig-to-AF_6ME7,6ME9_lig-to-AF_6ME7,6ME8_lig-to-AF_6ME7,6ME7_lig-to-AF_6ME7
70,5.171102845563857,4.73030936600371,5.123294188165679,5.288727191940771
71,5.011922018707537,5.338378118816006,5.120935779775164,5.036176007049502
72,5.287220308649033,5.010546388168644,5.2633268510184905,5.3978882363240475
73,5.26412796883574,5.854458975118936,5.227931555659904,5.385008523542604
74,4.9056185889477,5.749041258260953,5.005835759033176,4.9392871023618525
75,5.98939501518097,4.740673787275803,6.000479005440098,6.052275855783093
76,4.940253738523694,5.166202880561612,4.927840438856875,5.022875849736474
77,5.375097535832487,4.695977583694357,5.454202760654535,5.372518321767549
78,4.49036437501274,4.534569709790683,4.57343654434489,4.549705472245376
79,4.425735335010865,5.700848669895825,4.5095702780992655,4.467942168755209
80,5.1058189051356875,4.82187677598874,5.175721075100969,5.25679701053382
81,5.100077186487586,5.916797538043375,5.174263134495985,5.2347274057437225
82,5.613236635353098,4.620069439039755,5.604171488810467,5.695747870831198
83,4.575276737427498,4.534776304414353,4.623039199388009,4.686232139575373
84,6.985173777641559,4.934056858747283,7.056575067113814,6.96282256229376
