,6PS8_lig-to-AF_6ME2,6ME2_lig-to-AF_6ME2,6ME5_lig-to-AF_6ME2,6ME4_lig-to-AF_6ME2,6ME3_lig-to-AF_6ME2
56,2.8989897582706443,6.113818710936092,5.1691106364494654,5.238391448529495,2.9889547160547116
57,6.394110567219297,4.963916498370341,6.92044056690011,6.05243670786081,6.3502100289859875
58,3.0009815075862525,6.052392188109082,4.75757219239392,6.093082924481024,3.0233193824321933
59,3.0684492051240677,5.703709247536467,5.239651569581453,6.019565937724645,3.1253140756199973
60,1.3210073346475932,6.418976439458089,6.362166485571292,6.520495313896305,1.3609984540067894
61,2.696202148757694,5.073565982460334,4.521125328548628,5.558885086755327,2.7400989073394535
62,6.789351147711924,5.638429720515259,5.3564514512660235,5.802154116853044,6.7338240095809025
63,3.130650908718984,4.153768709637613,5.687130874355603,5.5800541215829575,3.23635150656272
64,1.6402276709156014,6.263457332776969,5.2248488070176995,6.330620282921255,1.6619740896082777
65,4.211599376279463,4.461497435691501,5.33259130526101,5.940313392207355,4.263010167939852
66,2.484836068240055,4.291373727737824,4.688074664795726,4.837628288034643,2.535837946160658
67,3.0187959811303924,6.151865029833851,6.116075105972943,6.134131111788495,3.07955876340291
68,3.330588431131561,4.98112989591822,5.676114874779776,3.4233498363314974,3.415291395911597
69,3.5662164221893,3.7348031820222785,6.1703162391534185,6.219613097217307,3.623980499749053
70,6.271453193363759,5.913137610031519,5.803549581481884,5.862795953862941,6.289470448380656
71,6.505136549951551,6.030822535747561,5.397563431017319,6.148602465524608,6.4388387029614655
72,2.2778486831381435,5.7256752047023625,5.197199456503403,5.6963086307505275,2.311534553423059
73,6.863079975101312,5.821563938301008,5.632381486154236,5.819229960289089,6.78405939632566
74,1.5805672931874262,4.7731693082543005,5.147629872155599,6.031014072349088,1.6898530363897362
75,3.892448153558246,6.145024284592305,6.519522146704641,4.712287639950373,3.9553549286055123
76,3.3535097419609174,5.0470213589669894,5.705716761986473,5.999808663164662,3.3989234124759653
77,2.048345051575551,4.625034127442027,5.342881026015817,5.778657009834556,2.114005130766696
78,4.109106650107232,5.0305553852057345,5.140887188082417,6.263967065386585,4.16589683103003
79,3.303400192637573,4.7025897142841915,5.343211584761412,5.272117918394746,3.3636452768319542
80,6.899487390351759,4.617020776788477,5.519811566391209,12.971470634838889,6.848827765164013
81,6.613863166121495,6.087635004524676,5.356459860060778,6.089634189199632,6.524180641217062
82,,4.980739649216048,5.979342855040236,4.737243451421946,
83,,4.419017249867357,4.969346644646351,6.4117557840378465,
84,,4.4956408694205985,6.176944572932331,4.427786934675017,
85,,4.5514549372800275,5.595078352772928,,
86,,4.443188284228354,4.220315633909144,,
87,,5.34983506441206,6.282961354410249,,
88,,4.844211946686598,,,
89,,4.087034045405981,,,
90,,6.030378355432827,,,
91,,6.206363029811806,,,
